"","Woodiness_herbaceous","Woodiness_woody","Climbing_climbing","Climbing_non.climbing","Aquatic_aquatic","Aquatic_non.aquatic","SexualSystem_dimorphic","SexualSystem_monomorphic","Lifespan_long","Lifespan_short","Mating_mixed","Mating_outcrossing","Mating_selfing","Pollination_abiotic","Pollination_autonomous","Pollination_biotic","Dispersal_abiotic","Dispersal_autonomous","Dispersal_biotic","FlowerSex_bisexual","FlowerSex_unisexual","FloralReward_nectar","FloralReward_none","FloralReward_other","FloralReward_pollen","FlowerSymmetry_actinomorphic","FlowerSymmetry_other","FlowerSymmetry_zygomorphic","Showiness_bright","Showiness_dull","Maximum.vertical.height","Number.of.fertile.stamens","Number.of.ovules.per.carpel","Pollen.size","Pollen.ovule.ratio","Number.of.carpels","Fusion.of.ovaries","Fruit.length","Fruit.width","Length.of.gynoecium","Outcrossing.rate","Flower.size"
"Albizia julibrissin",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,16,25,15,100,2826,1,NA,14.75,2,NA,1,0.8
"Alepis flavida",0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6
"Allanblackia floribunda",0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,NA,NA,NA,NA,1,0,0,1,0,NA,185,505.5,NA,NA,5,NA,NA,NA,NA,NA,5
"Allium sativum",1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,NA,NA,NA,NA,1,0,1,1,0,NA,6,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"Allium schoenoprasum",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,NA,6,NA,NA,NA,NA,NA,0.345,0.315,NA,0.91,1.04
"Allocasuarina verticillata",0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,NA,NA,NA,1,0,NA,1,1,30,4364,1.5,1,NA,NA,NA,NA,0.9
"Alluaudia procera",0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,NA,NA,NA,NA,0,1,0,1,1,15,8,1,NA,NA,3,1,0.25,NA,NA,NA,0.2
"Alnus alnobetula",0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,10,4,1.5,23,NA,2.5,1,NA,NA,NA,0.95,NA
"Aloe thraskii",0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,NA,NA,NA,0,1,1,0,0,0,0,0,1,1,0,2.75,6,NA,NA,NA,NA,NA,NA,NA,NA,0.78,2.35
"Alphitonia excelsa",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,21,5,1,22,5550,3,NA,0.85,0.9,NA,NA,1
"Alseuosmia macrophylla",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,2.375,5,51.5,47.5,NA,2,NA,NA,NA,NA,NA,3.75
"Alstroemeria aurea",1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0.75,6,21.5,NA,4500,3,NA,2.25,NA,NA,0.31,5
"Alyssum simplex",1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0.15,6,2,36.55,NA,2,1,0.45,0.45,NA,NA,0.25
"Amborella trichopoda",0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,8,16.5,1,NA,1582,5,0,NA,NA,NA,NA,0.4
"Amsonia tabernaemontana",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,1,0,0,1,0,0.65,5,NA,NA,NA,2,0,NA,NA,NA,NA,1.9
"Anarthria polyphylla",1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,NA,NA,NA,0,1,0,1,0,0,1,0,0,0,1,0.1,3,1,NA,NA,3,1,NA,NA,NA,NA,NA
"Angelonia pubescens",1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0.7,4,NA,NA,NA,2,1,NA,NA,NA,NA,1.4
"Anigozanthos humilis",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,0,1,1,0,0,0,0,0,1,1,0,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75
"Annona crassiflora",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.974,3.25
"Antirrhinum majus",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0.5,4,9999,17.5,NA,2,1,1.35,1.1,NA,NA,3.6
"Apium graveolens",1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,5,1,23,NA,2,1,0.15,NA,NA,0.5475,0.15
"Aquilegia canadensis",1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0.525,40,75,NA,610,5,0,NA,NA,1.65,0.255,3
"Arabidopsis thaliana",1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0.175,6,55,17.5,33,2,1,NA,NA,NA,0.015,0.25
"Aralidium pinnatifidum",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,1,0,0,1,0,NA,5,0.5,NA,NA,3,1,NA,NA,NA,NA,0.25
"Arctostaphylos uva-ursi",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0.105,10,1,54,NA,5,1,NA,NA,NA,NA,0.2
"Arum maculatum",1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,NA,NA,NA,0,1,0.33,3.5,NA,38,4596,NA,NA,NA,NA,NA,1,NA
"Asparagus officinalis",1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1.75,6,NA,38,NA,3,1,0.8,NA,NA,NA,0.5
"Astelia alpina",1,0,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,0,0,1,1,1,1,0,0,0,1,0,0,0,1,NA,6,36,18.25,NA,3,1,NA,NA,NA,NA,0.4
"Audouinia capitata",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0.4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,1
"Avicennia marina",0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,4.1,4,2,NA,4000,2,1,2.5,1.2,0.3,0.650083333333333,0.595
"Azima tetracantha",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,1,1,0.9,4,1,NA,NA,2,1,0.75,NA,NA,NA,3.5
"Bagassa guianensis",0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,NA,NA,NA,NA,NA,30,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Balanophora laxiflora",1,0,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0,0,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5
"Balanops pancheri",0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,NA,NA,NA,NA,NA,4,5,2,NA,NA,2,1,1.7,NA,NA,NA,NA
"Bdallophytum americanum",1,0,0,1,0,1,1,0,NA,NA,0,1,0,NA,NA,NA,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0.165,9,NA,NA,NA,9.5,NA,NA,1.35,NA,NA,0.855
"Begonia heracleifolia",1,0,0,1,0,1,0,1,1,1,1,0,0,NA,NA,NA,0,1,0,1,0,NA,NA,NA,NA,0,0,1,1,0,NA,22.5,NA,NA,NA,3,NA,1,NA,NA,0.399,1.2
"Bergeranthus multiceps",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,1,0,0,1,1,0,0,1,0,NA,182.5,NA,NA,NA,NA,NA,0.8,0.5,NA,NA,2
"Berteroa incana",1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0.7,6,NA,17.5,NA,2,1,0.6,0.16,NA,NA,0.3
"Bertholletia excelsa",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,50,114,9,NA,26755,4,1,NA,NA,NA,NA,2.5
"Beta vulgaris",1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,2,5,1,18,29545.8333333333,2.5,1,NA,NA,NA,0.679,0.5
"Bixa orellana",0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,10,425,46.6666666666667,NA,138636,2,1,6.265,4.275,NA,0.678,4.5
"Borago officinalis",1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0.5,5,2,38,15875,2,1,NA,NA,NA,0.04,2.5
"Brasenia schreberi",1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1.5,26.5,1.5,47.6,9619,11.6,0,NA,NA,NA,0.628636363636364,2
"Bretschneidera sinensis",0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,20,8,2,50.5,14516.5,3,1,NA,NA,NA,0.67,3.5
"Bruguiera gymnorhiza",0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,35,22,3.33333333333333,29.8,3e+05,3,1,20,2,2,0.9115,3.25
"Buddleja davidii",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,5,4,NA,NA,106.59,NA,NA,NA,NA,NA,0.93,0.65
"Bursera simaruba",0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,NA,10,2,NA,NA,NA,NA,NA,NA,NA,NA,0.6
"Butomus umbellatus",1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0.8,9,50,38,NA,6,NA,NA,NA,NA,NA,2.25
"Buxus balearica",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,1,0,1,0,1,1,0,1,1,1,0,0,NA,NA,NA,NA,NA,6,4,4,NA,NA,3,NA,NA,NA,0.6,NA,0.6
"Byrsonima crassifolia",0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,12.5,10,1,13,NA,3,1,NA,1.83,NA,0.0566666666666667,1.2
"Cabomba caroliniana",1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,10,6,3,NA,62,3,0,NA,NA,NA,NA,2.5
"Calceolaria purpurea",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,0,0,1,0,0,0,1,1,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27
"Camellia sinensis",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,NA,NA,NA,NA,1,0,0,1,0,5,100,4,38,NA,3,1,NA,NA,NA,NA,2.75
"Canacomyrica monticola",0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,NA,NA,NA,NA,NA,7,6,1,NA,NA,1,NA,NA,1,NA,NA,NA
"Canna indica",1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,2.5,0.5,NA,49.5,NA,3,1,NA,0.6,NA,NA,6
"Cannabis sativa",1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,NA,5,0.5,30,NA,2,1,NA,NA,NA,NA,0.5
"Capparis zeylanica",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,NA,NA,NA,0,0,1,1,0,NA,NA,NA,NA,1,0,0,1,0,NA,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"Cardiocrinum cordatum",1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1.35,6,312.5,NA,NA,3,NA,NA,NA,NA,0.434166666666667,15
"Carex laxiflora",1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,NA,NA,NA,0,1,0,1,0,0,NA,NA,NA,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.09,NA
"Carica papaya",0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,6,10,999,34,NA,5,1,26.5,NA,NA,NA,4
"Caryocar brasiliense",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,NA,300,NA,NA,NA,3.5,NA,NA,NA,NA,1,6
"Catalpa speciosa",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,30,2,999,NA,NA,2,1,35,1.25,NA,NA,5.5
"Catharanthus roseus",0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0.875,5,NA,75.5,NA,2,NA,NA,NA,NA,0.63,4.49
"Caulophyllum thalictroides",1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,NA,NA,NA,NA,1,0,0,1,0,0.55,6,2.25,NA,5286,1,NA,NA,NA,NA,NA,0.9
"Centroplacus glaucinus",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,1,0,0,1,0,20,5,2,NA,NA,3,1,0.7,NA,NA,NA,0.2
"Ceratophyllum demersum",1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,NA,NA,NA,0,1,3,1,1,21,NA,1,NA,NA,NA,NA,NA,0.125
"Cercidiphyllum japonicum",0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,NA,NA,NA,0,1,30,28.5,20.5,NA,NA,1,0,NA,NA,NA,NA,NA
"Chimaphila umbellata",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0.275,10,1000,NA,32,5,1,NA,NA,NA,0.955,1.4
"Chimonanthus praecox",0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,8,7,2,38,2847,9,0,NA,NA,NA,0.54,2.75
"Chloranthus spicatus",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,NA,NA,NA,0,1,0.6,2.33333333333333,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"Chorispora tenella",1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,NA,NA,NA,NA,1,0,0,1,0,0.305,6,15.6,17.5,NA,2,1,2.4,0.175,NA,NA,8.15
"Cinnamomum camphora",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,NA,NA,NA,NA,1,0,0,1,1,22.5,9,1,17.5,NA,1,NA,NA,NA,NA,1,0.3
"Cirsium pitcheri",1,0,0,1,0,1,NA,NA,1,1,NA,NA,NA,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clarkia xantiana",1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,NA,NA,NA,NA,0,0,1,1,0,0.45,8,500,NA,84.5,4,1,2.25,NA,NA,0.7885,3.5
"Claytonia virginica",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0.225,5,2,NA,NA,3,1,NA,NA,NA,NA,0.85
"Cleistesiopsis bifaria",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,0,0,0,1,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clethra alnifolia",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,1,0,0,1,0,NA,NA,NA,NA,1,0,0,1,0,2,10,40,NA,NA,3,1,NA,NA,NA,NA,0.55
"Clutia pulchella",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,0,1,1,0,1,NA,NA,NA,NA,1,0,0,1,0,0.84,5,1,NA,3959,3,1,NA,NA,NA,NA,NA
"Cobaea scandens",0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,25,5,999,100,415.5,3,1,NA,NA,NA,NA,5.75
"Cochlospermum vitifolium",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,12,175,120,17.5,NA,5,1,8,5.5,NA,NA,11
"Coffea arabica",0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,5,5,NA,38,NA,NA,NA,NA,NA,NA,0.691666666666667,3
"Combretum leprosum",0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,NA,8,4,NA,NA,2,NA,NA,NA,NA,NA,0.95
"Commelina communis",1,0,0,1,0,1,0,1,0,1,NA,NA,NA,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25
"Cordyline australis",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,NA,NA,NA,NA,1,0,0,1,0,12,6,NA,NA,NA,3,1,NA,NA,NA,NA,0.55
"Coriaria myrtifolia",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,3,10,1,17.5,NA,5,NA,0.5,0.3,NA,NA,0.7
"Coriaria ruscifolia",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,NA,10,1,38,NA,7.5,NA,0.16,0.11,NA,NA,0.25
"Cornus florida",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,NA,NA,NA,NA,1,0,0,1,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5
"Corokia cotoneaster",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,NA,5,1,NA,NA,2,NA,NA,NA,NA,NA,0.65
"Corrigiola litoralis",1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,NA,NA,NA,NA,1,0,0,1,0,0.15,5,NA,NA,NA,3,0.5,NA,NA,NA,0.109230769230769,0.2
"Costus woodsonii",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,12,1,9,130,744,3,NA,NA,NA,NA,NA,NA
"Cucurbita pepo",1,0,1,0,0,1,0,1,0,1,NA,NA,NA,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,NA,2.5,5049,100,317,4,1,NA,NA,NA,NA,1
"Cupaniopsis anacardioides",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,4,8,1,15,39811,3,1,NA,NA,NA,NA,0.8
"Curculigo latifolia",1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,1,NA,NA,NA,NA,1,0,0,1,0,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3
"Cuscuta cuspidata",1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,NA,NA,NA,1,0,0,1,0,0,1,0,0,1,0,NA,5,2,NA,1164,2,1,NA,NA,NA,NA,0.175
"Cuttsia viburnea",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,NA,NA,NA,NA,1,0,0,1,0,NA,5,500.5,20.25,NA,5,NA,NA,NA,NA,NA,1
"Cyclanthus bipartitus",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,NA,NA,NA,1,0,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cymodocea nodosa",1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,2,1,NA,NA,2,0,1.3,0.9,NA,NA,NA
"Cypripedium calceolus",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0.45,2,1500,17.5,NA,3,1,NA,NA,NA,0.88,7.75
"Cyrilla racemiflora",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,10,5,2,NA,NA,2,1,NA,0.3,NA,NA,0.5
"Dalechampia spathulata",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,NA,20,NA,45.5,NA,3,NA,NA,NA,NA,NA,NA
"Dalzellia ceylanica",1,0,0,1,1,1,0,1,NA,NA,0,0,1,0,1,0,NA,NA,NA,1,0,0,0,0,1,1,0,0,1,1,0.01,3,999,NA,14.105,3,1,NA,NA,NA,NA,0.2
"Daphniphyllum macropodum",0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,20,9,2,NA,NA,2,1,1,0.55,NA,NA,NA
"Datisca glomerata",1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,NA,NA,NA,0,1,1.5,7.75,NA,NA,NA,NA,NA,NA,NA,NA,0.785,0.65
"Davidsonia jerseyana",0,1,0,1,0,1,0,1,1,0,0,0,1,NA,NA,NA,0,0,1,1,0,1,0,0,0,1,0,0,1,0,NA,9,6,NA,NA,2,NA,NA,5,NA,NA,0.5
"Davilla kunthii",1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,NA,70,2,NA,NA,1,NA,NA,NA,NA,NA,1.8
"Denhamia celastroides",0,1,0,1,0,1,0,1,1,0,0,1,0,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,1,0,0,NA,NA,7,5,4,NA,NA,3,1,1.35,NA,NA,NA,2.5
"Diapensia lapponica",0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0.02,5,80,NA,1997.5,3,1,0.3,NA,NA,0.356666666666667,1.1
"Diospyros australis",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,1,0,0,1,0,NA,14,1.5,NA,NA,NA,NA,1.25,0.95,NA,NA,0.16
