NDat,NTaxDat,NChrDat,NRefDat,NCstDat,ValDat,MinDat,MaxDat,NotesDat,NDacDat,NRankDat,NDqsDat,NUsrcrDat,DcrDat,NUsrupDat,DupDat,DeleteDat,NUsrdelDat,DdelDat,PseudoDat,HistoryDat
427,Amborella trichopoda,403. Fusion of ovaries (C1),Endress & Igersheim 2000b (IJPS),,0,,,,,,,Hervé Sauquet,01-Sep-10,,,0,,,0,"[As of 3/06/2014] Amborella trichopoda / 403. Fusion of ovaries (C1): 0% [Endress & Igersheim 2000b, Hervé Sauquet, 1/09/2010]"
432,Amborella trichopoda,411. Number of ovules per functional carpel (C1),Endress & Igersheim 2000b (IJPS),,1,,,,,,,Hervé Sauquet,01-Sep-10,,,0,,,0,"[As of 3/06/2014] Amborella trichopoda / 411. Number of ovules per carpel (C1): 1 [Endress & Igersheim 2000b, Hervé Sauquet, 1/09/2010]"
652,Apium graveolens,100. Floral structural sex (D1),Flora of Pakistan 2010 (website),100. Floral structural sex (D1): (0) bisexual,,,,,,,,Hervé Sauquet,16-Nov-10,,,0,,,0,"[As of 3/06/2014] Apium graveolens / 100. Sex (D1): (0) bisexual (structurally and functionally) [Flora of Pakistan 2010, Hervé Sauquet, 16/11/2010]"
653,Apium graveolens,102. Ovary position (D1),Flora of Pakistan 2010 (website),102. Ovary position (D1): (1) inferior,,,,,,,,Hervé Sauquet,16-Nov-10,,,0,,,0,"[As of 3/06/2014] Apium graveolens / 102. Ovary position (D1): (1) inferior [Flora of Pakistan 2010, Hervé Sauquet, 16/11/2010]"
664,Apium graveolens,301. Number of fertile stamens (C1),Flora of Pakistan 2010 (website),,5,,,,,,,Hervé Sauquet,16-Nov-10,,,0,,,0,"[As of 3/06/2014] Apium graveolens / 301. Number of fertile stamens (C1): 5 [Flora of Pakistan 2010, Hervé Sauquet, 16/11/2010]"
671,Apium graveolens,401. Number of structural carpels (C1),Flora of Pakistan 2010 (website),,2,,,,,,,Hervé Sauquet,16-Nov-10,,,0,,,0,"[As of 3/06/2014] Apium graveolens / 401. Number of carpels (C1): 2 [Flora of Pakistan 2010, Hervé Sauquet, 16/11/2010]"
673,Apium graveolens,403. Fusion of ovaries (C1),Flora of Pakistan 2010 (website),,1,,,,,,,Hervé Sauquet,16-Nov-10,,,0,,,0,"[As of 3/06/2014] Apium graveolens / 403. Fusion of ovaries (C1): 100% [Flora of Pakistan 2010, Hervé Sauquet, 16/11/2010]"
676,Apium graveolens,411. Number of ovules per functional carpel (C1),Flora of Pakistan 2010 (website),,1,,,,,,,Hervé Sauquet,16-Nov-10,,,0,,,0,"[As of 3/06/2014] Apium graveolens / 411. Number of ovules per carpel (C1): 1 [Flora of Pakistan 2010, Hervé Sauquet, 16/11/2010]"
818,Ranunculus acris,100. Floral structural sex (D1),Bonnier 1990 (book),100. Floral structural sex (D1): (0) bisexual,,,,,,,,Arnaud van Holt,20-Dec-10,,,0,,,0,"[As of 3/06/2014] Ranunculus acris / 100. Sex (D1): (0) bisexual (structurally and functionally) [Bonnier 1990, Arnaud van Holt, 20/12/2010]"
819,Ranunculus acris,102. Ovary position (D1),Bonnier 1990 (book),102. Ovary position (D1): (0) superior,,,,,,,,Arnaud van Holt,20-Dec-10,,,0,,,0,"[As of 3/06/2014] Ranunculus acris / 102. Ovary position (D1): (0) superior [Bonnier 1990, Arnaud van Holt, 20/12/2010]"
834,Ranunculus acris,311. Anther orientation (D1),Bonnier 1990 (book),311. Anther orientation (D1): (2) extrorse,,,,,,,,Arnaud van Holt,20-Dec-10,,,0,,,0,"[As of 3/06/2014] Ranunculus acris / 311. Anther orientation (D1): (2) extrorse [Bonnier 1990, Arnaud van Holt, 20/12/2010]"
836,Ranunculus acris,411. Number of ovules per functional carpel (C1),Bonnier 1990 (book),,1,,,1 seed per carpel,,,,Arnaud van Holt,20-Dec-10,,,0,,,0,"[As of 3/06/2014] Ranunculus acris / 411. Number of ovules per carpel (C1): 1 [Bonnier 1990, Arnaud van Holt, 20/12/2010] {1 seed per carpel}"
837,Ranunculus acris,100. Floral structural sex (D1),Flora of North America 2010 (website),100. Floral structural sex (D1): (0) bisexual,,,,,,,,Arnaud van Holt,20-Dec-10,,,0,,,0,"[As of 3/06/2014] Ranunculus acris / 100. Sex (D1): (0) bisexual (structurally and functionally) [Flora of North America 2010, Arnaud van Holt, 20/12/2010]"
842,Ranunculus acris,313. Anther dehiscence (D1),Flora of North America 2010 (website),313. Anther dehiscence (D1): (0) longitudinal slit,,,,,,,,Arnaud van Holt,20-Dec-10,,,0,,,0,"[As of 3/06/2014] Ranunculus acris / 313. Anther dehiscence (D1): (0) longitudinal [Flora of North America 2010, Arnaud van Holt, 20/12/2010]"
843,Ranunculus acris,411. Number of ovules per functional carpel (C1),Flora of North America 2010 (website),,1,,,,,,,Arnaud van Holt,20-Dec-10,,,0,,,0,"[As of 3/06/2014] Ranunculus acris / 411. Number of ovules per carpel (C1): 1 [Flora of North America 2010, Arnaud van Holt, 20/12/2010]"
844,Ranunculus acris,102. Ovary position (D1),Flora of North America 2010 (website),102. Ovary position (D1): (0) superior,,,,,,,,Arnaud van Holt,20-Dec-10,,,0,,,0,"[As of 3/06/2014] Ranunculus acris / 102. Ovary position (D1): (0) superior [Flora of North America 2010, Arnaud van Holt, 20/12/2010]"
1632,Bixa orellana,100. Floral structural sex (D1),Flora of China 2011 (website),100. Floral structural sex (D1): (0) bisexual,,,,,,,,Hervé Sauquet,08-Mar-11,,,0,,,0,"[As of 3/06/2014] Bixa orellana / 100. Sex (D1): (0) bisexual (structurally and functionally) [Flora of China 2011, Hervé Sauquet, 8/03/2011]"
1633,Bixa orellana,102. Ovary position (D1),Flora of China 2011 (website),102. Ovary position (D1): (0) superior,,,,,,,,Hervé Sauquet,08-Mar-11,,,0,,,0,"[As of 3/06/2014] Bixa orellana / 102. Ovary position (D1): (0) superior [Flora of China 2011, Hervé Sauquet, 8/03/2011]"
1634,Bixa orellana,104. Flower diameter (C1),Flora of China 2011 (website),,,4,5,,,,,Hervé Sauquet,08-Mar-11,,,0,,,0,"[As of 3/06/2014] Bixa orellana / 104. Flower diameter (C1): 4.0-5.0 [Flora of China 2011, Hervé Sauquet, 8/03/2011]"
1650,Bixa orellana,401. Number of structural carpels (C1),Flora of China 2011 (website),,2,,,,,,,Hervé Sauquet,08-Mar-11,,,0,,,0,"[As of 3/06/2014] Bixa orellana / 401. Number of carpels (C1): 2 [Flora of China 2011, Hervé Sauquet, 8/03/2011]"
1651,Bixa orellana,403. Fusion of ovaries (C1),Flora of China 2011 (website),,1,,,,,,,Hervé Sauquet,08-Mar-11,,,0,,,0,"[As of 3/06/2014] Bixa orellana / 403. Fusion of ovaries (C1): 100% [Flora of China 2011, Hervé Sauquet, 8/03/2011]"
1657,Bixa orellana,411. Number of ovules per functional carpel (C1),Flora of China 2011 (website),,,9,99,,,,,Hervé Sauquet,08-Mar-11,,,0,,,0,"[As of 3/06/2014] Bixa orellana / 411. Number of ovules per carpel (C1): 9-99 [Flora of China 2011, Hervé Sauquet, 8/03/2011]"
1866,Thalictrum minus,100. Floral structural sex (D1),Flora of North America 2011 (website),100. Floral structural sex (D1): (0) bisexual,,,,,,,,Sophie Nadot,14-Mar-11,,,0,,,0,"[As of 3/06/2014] Thalictrum minus / 100. Sex (D1): (0) bisexual (structurally and functionally) [Flora of North America 2011, Sophie Nadot, 14/03/2011]"
1867,Thalictrum minus,102. Ovary position (D1),Flora of North America 2011 (website),102. Ovary position (D1): (0) superior,,,,,,,,Sophie Nadot,14-Mar-11,,,0,,,0,"[As of 3/06/2014] Thalictrum minus / 102. Ovary position (D1): (0) superior [Flora of North America 2011, Sophie Nadot, 14/03/2011]"
1868,Thalictrum minus,104. Flower diameter (C1),Flora of North America 2011 (website),,,0.6,0.8,,,,,Sophie Nadot,14-Mar-11,,,0,,,0,"[As of 3/06/2014] Thalictrum minus / 104. Flower diameter (C1): 0.6-0.8 [Flora of North America 2011, Sophie Nadot, 14/03/2011]"
1872,Thalictrum minus,207. Symmetry of perianth (D1),Flora of North America 2011 (website),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,,,,,,,Sophie Nadot,14-Mar-11,,,0,,,0,"[As of 3/06/2014] Thalictrum minus / 207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric) [Flora of North America 2011, Sophie Nadot, 14/03/2011]"
1874,Thalictrum minus,301. Number of fertile stamens (C1),Flora of North America 2011 (website),,,10,15,,,,,Sophie Nadot,14-Mar-11,Jos Käfer,30-May-22,0,,,0,"[As of 3/06/2014] Thalictrum minus / 301. Number of fertile stamens (C1): 10-15 [Flora of North America 2011, Sophie Nadot, 14/03/2011]_x000D_[Updated by Jos Käfer on 30/05/2022] Thalictrum minus / 301. Number of fertile stamens (C1): 10-15 [Flora of North Amer"
1881,Thalictrum minus,313. Anther dehiscence (D1),Flora of North America 2011 (website),313. Anther dehiscence (D1): (0) longitudinal slit,,,,,,,,Sophie Nadot,14-Mar-11,,,0,,,0,"[As of 3/06/2014] Thalictrum minus / 313. Anther dehiscence (D1): (0) longitudinal [Flora of North America 2011, Sophie Nadot, 14/03/2011]"
1882,Thalictrum minus,401. Number of structural carpels (C1),Flora of North America 2011 (website),,,3,15,,,,,Sophie Nadot,14-Mar-11,Jos Käfer,30-May-22,0,,,0,"[As of 3/06/2014] Thalictrum minus / 401. Number of carpels (C1): 3-15 [Flora of North America 2011, Sophie Nadot, 14/03/2011]_x000D_[Updated by Jos Käfer on 30/05/2022] Thalictrum minus / 401. Number of structural carpels (C1): 3-15 [Flora of North America 201"
1884,Thalictrum minus,403. Fusion of ovaries (C1),Flora of North America 2011 (website),,0,,,,,,,Sophie Nadot,14-Mar-11,,,0,,,0,"[As of 3/06/2014] Thalictrum minus / 403. Fusion of ovaries (C1): 0% [Flora of North America 2011, Sophie Nadot, 14/03/2011]"
1885,Thalictrum minus,411. Number of ovules per functional carpel (C1),Flora of North America 2011 (website),,1,,,,,,,Sophie Nadot,14-Mar-11,,,0,,,0,"[As of 3/06/2014] Thalictrum minus / 411. Number of ovules per carpel (C1): 1 [Flora of North America 2011, Sophie Nadot, 14/03/2011]"
1976,Butomus umbellatus,100. Floral structural sex (D1),Flora of North America 2011 (website),100. Floral structural sex (D1): (0) bisexual,,,,,,,,Hervé Sauquet,18-Mar-11,,,0,,,0,"[As of 3/06/2014] Butomus umbellatus / 100. Sex (D1): (0) bisexual (structurally and functionally) [Flora of North America 2011, Hervé Sauquet, 18/03/2011]"
1977,Butomus umbellatus,102. Ovary position (D1),Flora of North America 2011 (website),102. Ovary position (D1): (0) superior,,,,,,,,Hervé Sauquet,18-Mar-11,,,0,,,0,"[As of 3/06/2014] Butomus umbellatus / 102. Ovary position (D1): (0) superior [Flora of North America 2011, Hervé Sauquet, 18/03/2011]"
1978,Butomus umbellatus,104. Flower diameter (C1),Flora of North America 2011 (website),,,2,2.5,,,,,Hervé Sauquet,18-Mar-11,,,0,,,0,"[As of 3/06/2014] Butomus umbellatus / 104. Flower diameter (C1): 2.0-2.5 [Flora of North America 2011, Hervé Sauquet, 18/03/2011]"
1982,Butomus umbellatus,207. Symmetry of perianth (D1),Hervé Sauquet 2010 (personal observation),207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric),,,,,,,,Hervé Sauquet,18-Mar-11,,,0,,,0,"[As of 3/06/2014] Butomus umbellatus / 207. Symmetry of perianth (D1): (0) actinomorphic (strictly polysymmetric) [Hervé Sauquet 2010, Hervé Sauquet, 18/03/2011]"
1985,Butomus umbellatus,301. Number of fertile stamens (C1),Flora of North America 2011 (website),,9,,,,,,,Hervé Sauquet,18-Mar-11,,,0,,,0,"[As of 3/06/2014] Butomus umbellatus / 301. Number of fertile stamens (C1): 9 [Flora of North America 2011, Hervé Sauquet, 18/03/2011]"
1992,Butomus umbellatus,313. Anther dehiscence (D1),Flora of North America 2011 (website),313. Anther dehiscence (D1): (0) longitudinal slit,,,,,,,,Hervé Sauquet,18-Mar-11,,,0,,,0,"[As of 3/06/2014] Butomus umbellatus / 313. Anther dehiscence (D1): (0) longitudinal [Flora of North America 2011, Hervé Sauquet, 18/03/2011]"
1994,Butomus umbellatus,401. Number of structural carpels (C1),Flora of North America 2011 (website),,6,,,,,,,Hervé Sauquet,18-Mar-11,,,0,,,0,"[As of 3/06/2014] Butomus umbellatus / 401. Number of carpels (C1): 6 [Flora of North America 2011, Hervé Sauquet, 18/03/2011]"
1996,Butomus umbellatus,411. Number of ovules per functional carpel (C1),Flora of North America 2011 (website),,50,,,"assuming the number given is for each carpel, not the whole gynoecium",,,,Hervé Sauquet,18-Mar-11,Hervé Sauquet,18-Mar-11,0,,,0,"[As of 3/06/2014] Butomus umbellatus / 411. Number of ovules per carpel (C1): 50 [Flora of North America 2011, Hervé Sauquet, 18/03/2011] {assuming the number given is for each carpel, not the whole gynoecium}"
2048,Daphniphyllum macropodum,100. Floral structural sex (D1),Flora of China 2011 (website),100. Floral structural sex (D1): (2) unisexual,,,,,,,,Hervé Sauquet,29-Mar-11,Hervé Sauquet,07-Jan-20,0,,,0,"[As of 3/06/2014] Daphniphyllum macropodum / 100. Sex (D1): (4) functionally unisexual dioecious, structurally androdioecious [Flora of China 2011, Hervé Sauquet, 29/03/2011]_x000D_[Automatically rescored by Hervé Sauquet on 7/01/2020] Daphniphyllum macropodum"
2049,Daphniphyllum macropodum,102. Ovary position (D1),Flora of China 2011 (website),102. Ovary position (D1): (0) superior,,,,"no perianth in this species, but must be superior since staminodes are shown at the base of the ovary in attached illustration",,,,Hervé Sauquet,29-Mar-11,,,0,,,0,"[As of 3/06/2014] Daphniphyllum macropodum / 102. Ovary position (D1): (0) superior [Flora of China 2011, Hervé Sauquet, 29/03/2011] {no perianth in this species, but must be superior since staminodes are shown at the base of the ovary in attached illustr"
